metric,confounds,preprocessing,acc,bottom,normal,top
label,ohne_confound,stemmed,0.72,0.53,0.81,0.71
label,ohne_confound,stopped,0.72,0.54,0.81,0.73
label,category_id,stopped,0.72,0.55,0.8,0.72
label,brand,tokens,0.72,0.54,0.82,0.69
label,brand category_id,tokens,0.71,0.55,0.8,0.68
label,brand category_id,lower,0.71,0.44,0.83,0.71
label,price,no_punct,0.71,0.53,0.8,0.7
label,price,lower,0.71,0.52,0.8,0.71
label,price,stopped,0.71,0.56,0.81,0.65
label,ohne_confound,tokens,0.71,0.53,0.79,0.71
label,ohne_confound,no_punct,0.71,0.53,0.79,0.72
label,ohne_confound,lower,0.71,0.54,0.79,0.71
label,brand price,tokens,0.71,0.53,0.81,0.66
label,price category_id,stopped,0.7,0.49,0.81,0.66
label,brand category_id,no_punct,0.7,0.52,0.78,0.71
label,brand price category_id,stemmed,0.7,0.45,0.82,0.67
label,brand,stopped,0.7,0.51,0.8,0.63
label,price category_id,lower,0.7,0.51,0.78,0.71
label,category_id,stemmed,0.7,0.53,0.78,0.7
label,brand category_id,stopped,0.7,0.51,0.79,0.68
label,category_id,no_punct,0.7,0.53,0.78,0.68
label,category_id,tokens,0.7,0.51,0.79,0.71
label,brand category_id,stemmed,0.7,0.5,0.81,0.65
label,price category_id,no_punct,0.69,0.5,0.78,0.66
label,price,stemmed,0.69,0.49,0.79,0.65
label,brand,no_punct,0.69,0.52,0.82,0.53
label,brand,lower,0.69,0.5,0.79,0.65
label,brand price category_id,lower,0.68,0.48,0.8,0.61
label,brand price,stopped,0.67,0.48,0.73,0.77
label,price category_id,tokens,0.67,0.37,0.82,0.62
label,price,tokens,0.67,0.49,0.78,0.61
label,brand price,lower,0.66,0.14,0.88,0.69
label,price category_id,stemmed,0.66,0.34,0.82,0.63
label,brand price category_id,no_punct,0.66,0.51,0.83,0.34
label,brand price,stemmed,0.65,0.65,0.66,0.64
label,category_id,lower,0.65,0.0,0.94,0.68
label,brand price category_id,tokens,0.65,0.53,0.7,0.68
label,brand,stemmed,0.63,0.55,0.86,0.0
label,brand price,no_punct,0.62,0.52,0.86,0.0
label,brand price category_id,stopped,0.61,0.5,0.77,0.28
